"Institution","Program (Season)","Decision & Date","St1","Date Added","Notes"
"Carnegie Mellon (CMU) LTI","Computer Science - MLT, Masters (F18)","Wait listed via E-mail on 6 Feb 2018 Undergrad GPA: 3.93GRE General (V/Q/W): 166/168/5.00GRE Subject: n/a","I","6 Feb 2018","Final decision to be made before 4th April."
"Carnegie Mellon University (CMU)","Computer Science, PhD (F18)","Accepted via Phone on 6 Feb 2018 ","I","6 Feb 2018","Just got a call from a POI saying I've been accepted and the official notification should arrive soon. YAYY!"
"Carnegie Mellon University (CMU)","Computer Science, PhD (F18)","Rejected via E-mail on 5 Feb 2018 Undergrad GPA: 3.60GRE General (V/Q/W): 164/168/5.00GRE Subject: n/a","A","6 Feb 2018","Prior research experience; no publications; BS/MS."
"Carnegie  Mellon University (CMU)","(Computer Science) MLT, LTI, Masters (F18)","Accepted via E-mail on 5 Feb 2018 Undergrad GPA: 3.76GRE General (V/Q/W): 0/163/3.00GRE Subject: n/a","I","6 Feb 2018","Very weak scores, but extraordinary strong LoRs from CMU professors."
"Carnegie  Mellon University","Computer Science (Language Technologies Institute), Masters (F18)","Accepted via E-mail on 5 Feb 2018 Undergrad GPA: 3.95GRE General (V/Q/W): 168/170/5.00GRE Subject: n/a","A","6 Feb 2018","Applied for PhD in Language Technologies, got MS. About to finish MS in a similar field at a different university. No first-author publications."
"Carnegie Mellon Univeristy (CMU)","(Computer Science) MLT, LTI, Masters (F18)","Rejected via E-mail on 5 Feb 2018 Undergrad GPA: 3.75GRE General (V/Q/W): 162/167/4.00GRE Subject: n/a","I","6 Feb 2018","Electrical major without CS minor from India, 1 publication in a national NLP conference (indexed by ACL), and 1 NLP research internship. First reject, waiting for other decisions."
"Carnegie  Mellon University (CMU)","(Computer Science LTI, PhD (F18)","Rejected via E-mail on 5 Feb 2018 Undergrad GPA: 3.10GRE General (V/Q/W): 156/170/3.00GRE Subject: n/a","I","5 Feb 2018","Applied to Phd/MS, rejected from both."
"Carnegie Mellon (CMU) LTI","Computer Science, PhD (F18)","Rejected via E-mail on 5 Feb 2018 ","U","5 Feb 2018","Very disappointed. Was hoping to be admitted to MLT at least. The published MS admissions data in 2016 was they accepted 82/126 but the emails says 750+ applicants this year. Sigh."
"Carnegie Mellon Univeristy","(Computer Science) MLT, LTI, Masters (F18)","Accepted via E-mail on 5 Feb 2018 Undergrad GPA: 3.65GRE General (V/Q/W): 170/161/3.50GRE Subject: n/a","I","5 Feb 2018","4 publications, CMU summer internship."
"Carnegie  Mellon University (CMU)","(Computer Science) MLT, LTI, Masters (F18)","Rejected via E-mail on 5 Feb 2018 Undergrad GPA: 4.00GRE General (V/Q/W): 167/167/5.00GRE Subject: n/a","A","5 Feb 2018",""
"Carnegie  Mellon University (CMU)","(Computer Science LTI, PhD (F18)","Rejected via E-mail on 5 Feb 2018 Undergrad GPA: 3.76GRE General (V/Q/W): 155/169/4.50GRE Subject: n/a","I","5 Feb 2018","3 internships. 2 top-tier conferences published (1st and 2nd author). Admitted to Master's MLT."
"Carnegie Mellon University","Computer Science, Language Technologies Institute (LTI), Masters (F18)","Accepted via E-mail on 5 Feb 2018 Undergrad GPA: 3.67GRE General (V/Q/W): 163/167/4.00GRE Subject: n/a","A","5 Feb 2018","Applied to MS/PhD. Happy to have an option, but disappointed not to get into the PhD program. Like other poster, concerned about lack of guaranteed funding."
"Carnegie  Mellon University (CMU)","Computer Science LTI, Masters (F18)","Other via Other on 5 Feb 2018 ","I","5 Feb 2018","To the poster below: can you share your exact course name? As lti offers 4 to 5 different masters courses."
"Carnegie  Mellon University (CMU)","(Computer Science LTI), Masters (F18)","Other via Other on 5 Feb 2018 ","I","5 Feb 2018","To the poster below: I received an official email today."
"Carnegie  Mellon University","(Computer Science LTI, Masters (F18)","Other via E-mail on 5 Feb 2018 ","A","5 Feb 2018","To the poster below: Congrats! Did you receive an official mail or informed by a PoI?"
"Carnegie  Mellon University (CMU)","Computer Science - Language Technology Institute, Masters (F18)","Accepted via E-mail on 5 Feb 2018 ","I","5 Feb 2018","Applied for MS/PhD."
"Carnegie Mellon University(CMU)","Computer Science, PhD (F18)","Other via Other on 5 Feb 2018 ","A","5 Feb 2018","Does anyone know when the non-ML CMU Computer Science PhD results will come out? Seems like they were out by this time last year."
"Carnegie  Mellon University (CMU)","(Computer Science, Masters (F18)","Other via Other on 5 Feb 2018 ","O","5 Feb 2018","To the poster below, I cannot find where the decision tab is located in my application. Where did you find it?"
"Carnegie  Mellon University (CMU)","(Computer Science, PhD (F18)","Other via Other on 5 Feb 2018 ","I","5 Feb 2018","To the poster below, did you get an email to check website or just checked it on your own?"
"Carnegie Mellon University (CMU)","Computer Science, PhD (F18)","Accepted via E-mail on 1 Feb 2018 ","I","3 Feb 2018","LTI. also accepted to MLD."
"Carnegie Mellon University (CMU)","Computer Science - Machine Learning, PhD (F18)","Accepted via E-mail on 1 Jan 2018 ","I","1 Feb 2018","what"
"Carnegie  Mellon University (CMU)","Computer Science (MS - ML), Masters (F18)","Rejected via E-mail on 1 Feb 2018 Undergrad GPA: 8.50GRE General (V/Q/W): 162/169/3.00GRE Subject: n/a","I","1 Feb 2018","Seriously why did I even bother. Obvious reject. GPA is all what matters. From a top school in my country with 5 strong LoRs"
"Carnegie Mellon  University (CMU)","Computer Science MLT LTI, Masters (F18)","Other via E-mail on 1 Feb 2018 ","A","1 Feb 2018","To the poster below: Were you informed by an official mail or the POI? The official notification for admits and rejects for all people is supposed to go out on the same day, so curious."
"Carnegie  Mellon University (CMU)","(Computer Science) MLT, LTI, Masters (F18)","Accepted via E-mail on 1 Feb 2018 ","U","1 Feb 2018",""
"Carnegie  Mellon University (CMU)","(Computer Science - Machine Learning), PhD (F18)","Accepted via E-mail on 1 Feb 2018 Undergrad GPA: 3.96GRE General (V/Q/W): 170/170/5.00GRE Subject: n/a","A","1 Feb 2018","Accepted no interview"
"Carnegie Mellon University ( CMU )","(Computer Science - Machine Learning), PhD (F18)","Accepted via E-mail on 31 Jan 2018 ","I","1 Feb 2018",""
"Carnegie Mellon University","Computer Science, PhD (F18)","Accepted via E-mail on 31 Jan 2018 ","I","31 Jan 2018","Area of Interest: Systems"
"Carnegie Mellon  University (CMU)","(Computer Science, PhD (F18)","Accepted via E-mail on 31 Jan 2018 Undergrad GPA: 3.90GRE General (V/Q/W): 167/170/5.00GRE Subject: n/a","A","31 Jan 2018","Email from department."
"Carnegie Mellon University","Computer Science - Machine Learning, PhD (F18)","Accepted via E-mail on 31 Jan 2018 Undergrad GPA: 4.13GRE General (V/Q/W): 167/170/5.00GRE Subject: n/a","A","31 Jan 2018","Acceptance email from the ML dept. with financial support."
"Carnegie Mellon (CMU)","Computer Science, PhD (F18)","Wait listed via E-mail on 31 Jan 2018 Undergrad GPA: 3.00GRE General (V/Q/W): 158/170/3.00GRE Subject: n/a","U","31 Jan 2018",""
"Carnegie Mellon  University (CMU)","(Computer Science - Machine Learning), PhD (S18)","Accepted via Phone on 29 Jan 2018 Undergrad GPA: 3.90GRE General (V/Q/W): 170/165/5.50GRE Subject: n/a","A","29 Jan 2018","Told by POI during interview that I should expect an official email in a few days. Excited!"
"Carnegie Mellon University (LTI)","(Computer Science), LTI, PhD (F18)","Accepted via E-mail on 27 Jan 2018 ","U","28 Jan 2018","E-mail from professor; official mail coming soon."
"Carnegie  Mellon University (CMU)","Computer Science (LTI), PhD (F18)","Accepted via E-mail on 27 Jan 2018 ","U","28 Jan 2018","Notified by POI, official notification to follow in 2-3 days."
"Carnegie Mellon University (CMU)","Computer Science, PhD (F18)","Interview via E-mail on 26 Jan 2018 Undergrad GPA: 3.76GRE General (V/Q/W): 166/168/4.50GRE Subject: n/a","A","26 Jan 2018","Contacted by POI to chat about interests."
"Carnegie  Mellon University (CMU)","Computer Science, PhD (F17)","Other via Other on 4 May 2017 ","I","4 May 2017","Man, still no word from CMU. I know, by this point, it's almost certainly a rejection, but I should be notified at least. So I can get closure and move on."
"Carnegie Mellon University","Computer Science, MSCV, Masters (F17)","Accepted via E-mail on 4 Apr 2017 Undergrad GPA: 3.93GRE General (V/Q/W): 170/155/3.50GRE Subject: n/a","I","4 Apr 2017","Initially on the waitlist, my 1st ad, so glad."
"Carnegie Mellon  University (CMU)","Computer Science - LTI - Intelligent Information Systems, Masters (F17)","Accepted via E-mail on 16 Feb 2017 Undergrad GPA: 3.40GRE General (V/Q/W): 154/170/4.00GRE Subject: n/a","I","10 Mar 2017","84% GPA, GRE Q170,V154, two international papers, 2 internships. Received email 16 Feb."
"Carnegie Mellon  University (CMU)","(Computer Science, PhD (F17)","Rejected via E-mail on 8 Mar 2017 ","I","9 Mar 2017","Definitely expected, after such a long time. I applied to SCS-CSD."
"Carnegie  Mellon University (CMU) - INI","Computer Science - MSIS, Masters (F17)","Rejected via E-mail on 9 Mar 2017 ","I","9 Mar 2017","Not Expected. But end of the season for me."
"Carnegie  Mellon University (CMU)","(Computer Science - Information Security), Masters (F17)","Wait listed via E-mail on 8 Mar 2017 ","I","9 Mar 2017",""
"Carnegie  Mellon University","Computer Science, Masters (F17)","Rejected via E-mail on 2 Mar 2017 ","U","8 Mar 2017","General rejection"
"Carnegie  Mellon University (CMU)","Computer Science, PhD (F17)","Rejected via E-mail on 8 Mar 2017 Undergrad GPA: 3.58GRE General (V/Q/W): 165/147/4.00GRE Subject: n/a","I","8 Mar 2017","Official e-mail from Computer Science dept. 1 first author publication, 1 submitted in review. Currently a M.Sc. student."
"Carnegie  Mellon University (CMU)","(Computer Science, PhD (F17)","Rejected via E-mail on 6 Mar 2017 ","I","6 Mar 2017","Masters from top North American university; two journal publication; two strong LoRs and one average LoR."
"Carnegie  Mellon University (CMU)","(Computer Science, Masters (F17)","Rejected via E-mail on 2 Mar 2017 Undergrad GPA: 3.77GRE General (V/Q/W): 164/170/4.00GRE Subject: n/a","I","5 Mar 2017","MS CS. No pubs. 1 internship."
"Carnegie  Mellon University (CMU) - INI","(Computer Science - Information Security), Masters (F17)","Accepted via E-mail on 5 Mar 2017 ","I","5 Mar 2017","Hi, To the poster below: GRE 322, very bad UG GPA from an Indian University, but 5 years consulting experience in related field. Decent LOR."
"Carnegie Mellon Information Networking Institute (INI)","(Computer Science - Information Security), Other (F17)","Other via Other on 5 Mar 2017 ","O","5 Mar 2017","To the poster, who was accepted to the MSIS program, do you mind sharing your profile?"
"Carnegie  Mellon University (CMU) - INI","(Computer Science - Information Security), Masters (F17)","Accepted via E-mail on 5 Mar 2017 ","I","5 Mar 2017",""
"Carnegie Mellon University INI","Computer Science - MSIS, Masters (F17)","Accepted via E-mail on 4 Mar 2017 Undergrad GPA: 3.60GRE General (V/Q/W): 152/165/4.00GRE Subject: n/a","I","4 Mar 2017","To the poster below, I guess we can start one."
"Carnegie  Mellon University (CMU) - INI","(Computer Science - MSIN, Masters (F17)","Accepted via E-mail on 4 Mar 2017 ","I","4 Mar 2017","Any whatsapp group for CMU admits?"
"Carnegie  Mellon University (CMU)","Computer Science, Masters (F17)","Rejected via E-mail on 2 Mar 2017 Undergrad GPA: 3.58GRE General (V/Q/W): 152/154/3.00GRE Subject: n/a","I","3 Mar 2017","Expected, not even sad."
"Carnegie  Mellon University (CMU)","(Computer Science - Software Engineering), PhD (F17)","Wait listed via E-mail on 7 Feb 2017 ","I","3 Mar 2017","Still on the wait list. Don't know how many are normally admitted after being on wait list. Anyone in the same situation?"
"Carnegie Mellon University (CMU)","Computer Science, Masters (F17)","Rejected via E-mail on 2 Mar 2017 ","I","3 Mar 2017",""
"Carnegie Mellon University (CMU)","Computer Science - Computer Vision, Masters (F17)","Rejected via E-mail on 2 Mar 2017 ","I","3 Mar 2017",""
"Carnegie  Mellon University (CMU)","(Computer Science, Masters (F17)","Rejected via E-mail on 2 Mar 2017 Undergrad GPA: 3.70GRE General (V/Q/W): 153/167/3.50GRE Subject: n/a","I","3 Mar 2017","1 IEEE International Conference Paper, 3 Good LORs (2 Strong - I believe), TOEFL -100, 1.5 Years relevant work ex"
"Carnegie Mellon  University (CMU)","Computer Science, Masters (F17)","Rejected via E-mail on 2 Mar 2017 Undergrad GPA: 3.80GRE General (V/Q/W): 170/165/4.00GRE Subject: n/a","A","3 Mar 2017","Applied for MSCS, non-CS undergrad.  Best of luck to everyone out there!"
"Carnegie  Mellon University (CMU)","(Computer Science, Masters (F17)","Rejected via E-mail on 3 Mar 2017 Undergrad GPA: 3.63GRE General (V/Q/W): 151/170/3.50GRE Subject: n/a","I","3 Mar 2017","1 yr part time RA in ML, one fair conference, EE undergrad"
"Carnegie  Mellon University (CMU)","(Computer Science, Masters (F17)","Rejected via E-mail on 2 Mar 2017 Undergrad GPA: n/aGRE General (V/Q/W): 163/164/4.50GRE Subject: n/a","I","3 Mar 2017","From Mumbai University, never should have hoped much. Good LORs, Good Projects, 1 Research Internship, No paper, No publications."
"Carnegie Mellon  University (CMU)","(Computer Science, PhD (F17)","Rejected via E-mail on 20 Feb 2017 ","A","3 Mar 2017","Was a longshot"
"Carnegie  Mellon University (CMU)","(Computer Science, Masters (F17)","Rejected via E-mail on 2 Mar 2017 ","I","2 Mar 2017",""
"Carnegie Mellon University (CMU)","Computer Science (Computational Biology), Masters (F17)","Other via E-mail on 2 Mar 2017 ","I","2 Mar 2017","To the poster below. McGill undergrad 3.92/4.0 cGPA. Cell Biology major, Comp Sci minor. 4 years of research experience in genetics. 1 year work experience in quantitative computing. Strong LORs with well-known AI professor placing in top 5 in his class.TA'd three courses and received undergrad teaching award."
"Carnegie Mellon University","Computer Science, Masters (F17)","Rejected via E-mail on 2 Mar 2017 Undergrad GPA: 3.74GRE General (V/Q/W): 164/168/5.00GRE Subject: n/a","A","2 Mar 2017","Undergrad from unknown institution, 1 yr research experience, no papers, 1 internship, okay LOR, meh SOP. Expected result!"
"Carnegie Mellon University(CMU)","Computer Science, Masters (F17)","Rejected via E-mail on 2 Mar 2017 Undergrad GPA: 3.85GRE General (V/Q/W): 167/166/5.00GRE Subject: n/a","I","2 Mar 2017",""
"Carnegie Mellon  University (CMU)","Computer Science, Masters (F17)","Rejected via E-mail on 2 Mar 2017 Undergrad GPA: 3.65GRE General (V/Q/W): 167/162/5.00GRE Subject: n/a","A","2 Mar 2017",""
"Carnegie Mellon  University (CMU)","Computer Science, Masters (F17)","Rejected via E-mail on 2 Mar 2017 Undergrad GPA: 3.88GRE General (V/Q/W): 160/168/5.00GRE Subject: n/a","A","2 Mar 2017",""
"Carnegie Mellon  University (CMU)","Computer Science, Masters (F17)","Rejected via E-mail on 2 Mar 2017 Undergrad GPA: 3.93GRE General (V/Q/W): 162/170/4.00GRE Subject: n/a","U","2 Mar 2017","Had two papers and other research experience."
"Carnegie  Mellon University (CMU)","(Computer Science, Masters (F17)","Rejected via E-mail on 2 Mar 2017 Undergrad GPA: 3.65GRE General (V/Q/W): 163/167/4.50GRE Subject: n/a","A","2 Mar 2017","Not unexpected"
"Carnegie Mellon University (CMU)","Computer Science, (Computational Biology), Masters (F17)","Accepted via E-mail on 2 Mar 2017 ","I","2 Mar 2017","$6000 Academic Merit Fellowship for the first year and can be increased to $9000 for the second year if 3.5 QGPA maintained."
"Carnegie Mellon University (CMU)","Computer Science, Masters (F17)","Rejected via E-mail on 2 Mar 2017 Undergrad GPA: n/aGRE General (V/Q/W): 161/165/3.50GRE Subject: n/a","I","2 Mar 2017","2 rejects in less than 30 minutes! :)"
"Carnegie Mellon University (CMU)","Computer Science, Masters (F17)","Other via Other on 2 Mar 2017 Undergrad GPA: 3.70GRE General (V/Q/W): 165/170/4.50GRE Subject: n/a","I","2 Mar 2017","Mine (match GRE) was MSCS."
"Carnegie Mellon (CMU)","Computer Science, Masters (F17)","Other via Other on 2 Mar 2017 ","","2 Mar 2017","Posters below: did you guys apply to MSCS or MSCV?"
"Carnegie Mellon University (CMU)","Computer Science, Masters (F17)","Rejected via E-mail on 2 Mar 2017 Undergrad GPA: 3.70GRE General (V/Q/W): 165/170/4.50GRE Subject: n/a","I","2 Mar 2017","motherfu**"
"Carnegie Mellon University","Computer Science, PhD (F17)","Rejected via E-mail on 21 Feb 2017 Undergrad GPA: 3.70GRE General (V/Q/W): 163/168/4.50GRE Subject: n/a","A","1 Mar 2017","Applied to ML department. 5 years work experience, Masters degree and some publications in a semi-related field."
"Carnegie Mellon University (CMU)","Computer Science, Masters (F17)","Other via Other on 1 Mar 2017 ","A","1 Mar 2017","If the mass rejects do not come out today, I believe it's because they are still working through the large number of applications received. There are batches of applicants that they send out to, and maybe they are working on a final batch of acceptances. I would say you're most likely rejected not due to the timing, but due to statistics. Most people are."
"Carnegie Mellon (CMU)","Computer Science, Masters (F17)","Other via Other on 1 Mar 2017 ","O","1 Mar 2017","To the poster below, it most likely means a reject. They've sent out all admits and should send rejections soon, just like in the past couple of years. I believe they may reconsider apps that didn't make the cut if too many people choose to go somewhere else."
"Carnegie Mellon (CMU)","(Computer Science, Masters (F17)","Other via Other on 1 Mar 2017 ","O","1 Mar 2017","If we haven't heard from CMU MS CS till now , Is it a reject? Can someone please help?"
"Carnegie Mellon University (CMU)","Computer Science (Computational Biology), Masters (F17)","Accepted via E-mail on 28 Feb 2017 ","I","28 Feb 2017",""
"Carnegie  Mellon University (CMU)","(Computer Science, Masters (F17)","Accepted via E-mail on 22 Feb 2017 ","U","28 Feb 2017","Just to add some background information. Good GPA, TOP engineering school, research with faculty, internship in the bay area."
"Carnegie  Mellon University (CMU)","(Computer Science - MCS), Masters (F17)","Accepted via E-mail on 23 Feb 2017 ","I","27 Feb 2017","It is not funded and hence very unlikely that I will join."
"Carnegie  Mellon University (CMU)","Computer Science, Masters (F17)","Accepted via Other on 27 Feb 2017 ","U","27 Feb 2017","If you were accepted into MSCS, you can join the Facebook group ""Carnegie Mellon University (CMU) MSCS Fall 2017 Admits"""
"Carnegie  Mellon University (CMU)","Computer Science, Masters (F17)","Accepted via Other on 27 Feb 2017 ","U","27 Feb 2017","If you were accepted into MSCS, you can join the Facebook group https://www.facebook.com/groups/279954552418659/, Carnegie Mellon University (CMU) MSCS Fall 2017 Admits"
"Carnegie Mellon  University (CMU)","Computer Science, Masters (F17)","Accepted via E-mail on 22 Feb 2017 Undergrad GPA: 3.48GRE General (V/Q/W): 159/167/5.00GRE Subject: n/a","A","24 Feb 2017",""
"Carnegie Mellon University ( CMU )","Computer Science (MSCS), Masters (F17)","Other via Other on 23 Feb 2017 ","U","23 Feb 2017","For those who got accepted to MSCS: I've been trying to call/email Tracy but got no response. Have you guys been able to reach her out to confirm admission?"
"Carnegie Mellon  University (CMU)","(Computer Science - Machine Learning), PhD (F17)","Rejected via E-mail on 20 Feb 2017 Undergrad GPA: 3.12GRE General (V/Q/W): 152/166/3.50GRE Subject: 560","A","23 Feb 2017","Subject test is mathematics. For more profile, see mathematicsgre.com, 2017 applicants, username Foobanana."
"Carnegie Mellon University (CMU)","(Computer Science, Masters (F17)","Accepted via E-mail on 23 Feb 2017 ","I","23 Feb 2017","Got a Phd admit also a while ago."
"Carnegie  Mellon University (CMU)","Computer Science, Masters (F17)","Accepted via E-mail on 22 Feb 2017 Undergrad GPA: 3.73GRE General (V/Q/W): 158/160/3.50GRE Subject: n/a","A","23 Feb 2017",""
"Carnegie Mellon University (CMU)","Computer Science (MSCS), Masters (F17)","Accepted via E-mail on 22 Feb 2017 Undergrad GPA: 3.99GRE General (V/Q/W): 170/170/6.00GRE Subject: n/a","U","23 Feb 2017","EE undergrad from top 15 US school. No papers. 1 year of work exp. Internships at Amazon and Qualcomm."
"Carnegie Mellon University (CMU)","(Computer Science, Masters (F17)","Other via Other on 23 Feb 2017 ","O","23 Feb 2017","To the CMU, MS CS accepts below: Could you guys please share your profiles?"
"Carnegie  Mellon University (CMU)","Computer Science, Masters (F17)","Accepted via E-mail on 22 Feb 2017 Undergrad GPA: 3.85GRE General (V/Q/W): 168/167/4.00GRE Subject: n/a","A","23 Feb 2017",""
"Carnegie Mellon University (CMU)","Computer Science, Masters (F17)","Accepted via E-mail on 23 Feb 2017 Undergrad GPA: 9.25GRE General (V/Q/W): 159/170/5.00GRE Subject: n/a","I","23 Feb 2017","You are one of the select few, less than 5% of the more than 1900 applicants, that we are inviting."
"Carnegie  Mellon University (CMU)","(Computer Science - Machine Learning), PhD (F17)","Rejected via E-mail on 20 Feb 2017 ","A","21 Feb 2017","several first author papers in medical journals, 1-2 good recs, good GRE, probably lacking GPA and ML research."
"Carnegie  Mellon University (CMU)","(Computer Science - Machine Learning), PhD (F17)","Rejected via E-mail on 20 Feb 2017 ","I","21 Feb 2017","Was accepted for PhD in the HCII department at CMU."
"Carnegie  Mellon University (CMU)","(Computer Science - Machine Learning), PhD (F17)","Rejected via E-mail on 20 Feb 2017 ","I","20 Feb 2017",""
"Carnegie Mellon  University (CMU)","(Computer Science - Machine Learning), PhD (F17)","Rejected via E-mail on 20 Feb 2017 Undergrad GPA: 4.00GRE General (V/Q/W): 160/164/4.50GRE Subject: n/a","A","20 Feb 2017",""
"Carnegie  Mellon University (CMU)","(Computer Science, PhD (F17)","Other via Other on 20 Feb 2017 ","U","20 Feb 2017","In my application , I only remember choosing computer science. I did not select anything else like LTI, Software etc. I also contacted with a Professor, and met in a conference. He informed me that he will send an email to admissions committee, but, unfortunately, cannot guarantee the admit. Only admissions committee will decide about the result. Yet, no email received, probably will be denied."
"Carnegie  Mellon University (CMU)","(Computer Science - Machine Learning), PhD (F17)","Rejected via E-mail on 20 Feb 2017 ","I","20 Feb 2017",""
"Carnegie Mellon  University (CMU)","(Computer Science - Machine Learning), PhD (F17)","Rejected via E-mail on 20 Feb 2017 Undergrad GPA: 3.83GRE General (V/Q/W): 167/168/5.00GRE Subject: n/a","U","20 Feb 2017","First reject. Already got an admit from the LTI."
"Carnegie  Mellon University (CMU)","Computer Science - Machine Learning, PhD (F17)","Rejected via E-mail on 20 Feb 2017 ","U","20 Feb 2017",""
"Carnegie Mellon  University (CMU)","Computer Science- Societal Computing, PhD (F17)","Rejected via E-mail on 20 Feb 2017 ","I","20 Feb 2017",""
"Carnegie Mellon University","Computer Science-Machine Learning, PhD (F17)","Rejected via E-mail on 20 Feb 2017 ","O","20 Feb 2017",""
"Carnegie  Mellon University (CMU)","(Computer Science - Machine Learning), Masters (F17)","Rejected via E-mail on 17 Feb 2017 Undergrad GPA: 3.80GRE General (V/Q/W): 157/163/4.00GRE Subject: n/a","I","19 Feb 2017","Currently working in Amazon for the past 6 months. Interned in Amazon for another 6 months. Have one international conference paper, two international journal papers in review. Multiple research projects, mostly aligned towards machine learning in computer vision."
"Carnegie  Mellon University","(Computer Science - Machine Learning), Masters (F17)","Rejected via E-mail on 19 Feb 2017 ","U","19 Feb 2017",""
"Carnegie Mellon University ( CMU )","(Computer Science - Machine Learning), Masters (F17)","Rejected via E-mail on 18 Feb 2017 ","I","19 Feb 2017",""
"Carnegie Mellon University (CMU) - Institute For Software Research","(Computer Science - Software Engineering), PhD (F17)","Other via Other on 18 Feb 2017 ","I","18 Feb 2017","To the poster below: I got to know last week that they haven't send anything but they should be soon. I haven't heard anything from them."
"Carnegie Mellon  University (CMU)","(Computer Science - Machine Learning), Masters (F17)","Rejected via E-mail on 18 Feb 2017 ","I","18 Feb 2017",""
"Carnegie Mellon University (CMU)","(Computer Science - Machine Learning), Masters (F17)","Accepted via E-mail on 17 Feb 2017 ","I","18 Feb 2017","Also accepted to PhD in CSD (so likely to decline this one). Applied PhD in MLD, but seems rejected and got a MS in MLD offer. No publications, but two ML/CV submissions (+arXiv) at the time of application."
"Carnegie  Mellon University (CMU)","Computer Science HCII, PhD (F17)","Other via Other on 18 Feb 2017 ","O","18 Feb 2017","To the posters accepted at HCII, CMU, when did you guys get the mail, i.e., the time?"
"Carnegie  Mellon University (CMU)","Computer Science HCII, PhD (F17)","Accepted via E-mail on 18 Feb 2017 ","A","18 Feb 2017","oh my god."
"Carnegie Mellon University (CMU)","Computer Science - Machine Learning, Masters (F17)","Accepted via E-mail on 18 Feb 2017 ","I","18 Feb 2017","Have better offer already and will decline this one"
"Carnegie Mellon  University (CMU)","Computer Science (Machine Learning), Masters (F17)","Rejected via E-mail on 18 Feb 2017 ","I","18 Feb 2017","Totally expected."
"Carnegie  Mellon University","(Computer Science - Machine Learning), Masters (F17)","Rejected via E-mail on 18 Feb 2017 ","A","18 Feb 2017","Solid GRE scores, research for 5 years, undergrad and first masters done at CMU with over 3.7 GPA. Very disappointed."
"Carnegie  Mellon University (CMU)","(Computer Science - Machine Learning), Masters (F17)","Rejected via E-mail on 17 Feb 2017 Undergrad GPA: 4.00GRE General (V/Q/W): 153/162/3.50GRE Subject: n/a","I","18 Feb 2017","Congratulations to all admitted students. Can you post your stats so that I can see what is missing in me and reapply next year Thanks. 0a/0w/2r/8 lots of rejections to come. ^^"
"Carnegie  Mellon University","Computer Science Machine Learning, Masters (F17)","Rejected via E-mail on 17 Feb 2017 Undergrad GPA: 3.56GRE General (V/Q/W): 168/168/5.00GRE Subject: n/a","A","17 Feb 2017","Non-CS student from highly ranked engineering program, didn't anticipate getting it"
"Carnegie Mellon University (CMU)","(Computer Science - Machine Learning), Masters (F17)","Rejected via E-mail on 17 Feb 2017 Undergrad GPA: 3.70GRE General (V/Q/W): 165/170/4.50GRE Subject: n/a","I","17 Feb 2017",":'("
