"Institution","Program (Season)","Decision & Date","St1","Date Added","Notes"
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science ), PhD (F18)","Accepted via E-mail on 27 Jan 2018 ","I","27 Jan 2018",""
"Illinois At Urbana Champaign (UIUC)","(Computer Science, PhD (F18)","Other via Other on 25 Jan 2018 ","O","25 Jan 2018","Interviewed by POI last week but haven't hear anything back. Does that indicate a reject ?"
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science, PhD (F18)","Accepted via E-mail on 25 Jan 2018 ","U","25 Jan 2018","CV; No Interview;"
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science, PhD (F18)","Accepted via E-mail on 25 Jan 2018 Undergrad GPA: 3.90GRE General (V/Q/W): 151/168/3.00GRE Subject: n/a","U","25 Jan 2018","Had 2 informal Skype meeting, the second POI is willing to give me an RA. Area: HPC systems. 2 Publication in submission. Seems the POI's recommendation to the committee is also important"
"Illinois At Urbana Champaign (UIUC)","(Computer Science, PhD (F18)","Interview via E-mail on 25 Jan 2018 ","O","25 Jan 2018","How was the interview for UIUC, Ph.D..Was it technical? or Was it a discussion about the past works and an interaction. Guys who already interviewed, please answer"
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science ), PhD (F18)","Accepted via E-mail on 24 Jan 2018 ","U","24 Jan 2018",""
"The University Of Illinois At Urbana-Champaign  UIUC","(Computer Science, PhD (F18)","Accepted via E-mail on 24 Jan 2018 ","A","24 Jan 2018",""
"Illinois At Urbana Champaign (UIUC)","Computer Science, PhD (F18)","Accepted via E-mail on 24 Jan 2018 ","U","24 Jan 2018","CV; interviewed a week ago; super happy"
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science, PhD (F18)","Interview via E-mail on 21 Jan 2018 ","I","23 Jan 2018",""
"Illinois At Urbana Champaign (UIUC)","Computer Science, PhD (F18)","Interview via Phone on 22 Jan 2018 ","A","22 Jan 2018","Prof didn't tell me whether I got in or not, cause he's not allowed to.
People who say otherwise are just fooling themselves and trying to spread uncertainty :) Brace for the real emails guys!"
"Illinois At Urbana Champaign (UIUC)","Computer Science, PhD (F18)","Accepted via Phone on 22 Jan 2018 Undergrad GPA: 3.76GRE General (V/Q/W): 166/168/4.50GRE Subject: n/a","A","22 Jan 2018","Prof told me at beginning of interview that acceptance was on the way :)"
"Illinois At Urbana Champaign (UIUC)","Computer Science, PhD (F18)","Interview via E-mail on 11 Jan 2018 Undergrad GPA: 3.57GRE General (V/Q/W): 168/152/3.50GRE Subject: n/a","U","22 Jan 2018",""
"Illinois At Urbana Champaign (UIUC)","(Computer Science ), PhD (F18)","Interview via E-mail on 22 Jan 2018 ","U","22 Jan 2018","To the poster below, I have 1 paper in submission and 1 paper in preparation. Both 2nd author and in HPC systems area."
"Illinois At Urbana Champaign (UIUC)","(Computer Science), PhD (F18)","Interview via E-mail on 22 Jan 2018 Undergrad GPA: 3.90GRE General (V/Q/W): 151/168/3.00GRE Subject: n/a","U","22 Jan 2018","To the post below. My area is high performance computing systems."
"Illinois At Urbana Champaign (UIUC)","Computer Science, PhD (F18)","Interview via E-mail on 22 Jan 2018 ","O","22 Jan 2018","To the post below. May I know your research area?"
"Illinois At Urbana Champaign (UIUC)","(Computer Science ), PhD (F18)","Interview via E-mail on 22 Jan 2018 Undergrad GPA: 3.90GRE General (V/Q/W): 168/151/3.00GRE Subject: n/a","U","22 Jan 2018","Got an email from POI just now."
"Illinois At Urbana Champaign (UIUC)","Computer Science, PhD (F18)","Interview via E-mail on 17 Jan 2018 ","","18 Jan 2018",""
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science, PhD (F18)","Interview via E-mail on 17 Jan 2018 Undergrad GPA: 3.76GRE General (V/Q/W): 166/168/4.50GRE Subject: n/a","A","17 Jan 2018",""
"Illinois At Urbana Champaign (UIUC)","Computer Science, PhD (F18)","Accepted via E-mail on 10 Jan 2018 Undergrad GPA: 3.60GRE General (V/Q/W): 149/166/3.00GRE Subject: n/a","I","12 Jan 2018",""
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science, PhD (F18)","Interview via E-mail on 12 Jan 2018 ","I","12 Jan 2018",""
"Illinois At Urbana Champaign (UIUC)","Computer Science, PhD (F18)","Accepted via E-mail on 5 Jan 2018 ","I","5 Jan 2018",""
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science, PhD (F18)","Interview via E-mail on 23 Dec 2017 ","I","27 Dec 2017","schedule a Skype interview"
"The University Of Illinois At Urbana-Champaign  UIUC","(Computer Science - Master Of Data Science MDS), Masters (S18)","Accepted via E-mail on 30 Nov 2017 ","I","1 Dec 2017","Biology graduate, took bunch of compsci courses.  4 yrs of work experience in IT sector."
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science - Data Science, Masters (S18), Masters (S18)","Rejected via E-mail on 22 Nov 2017 ","U","22 Nov 2017","Rejected. Phd in civil engineering, 3.8/4.0 GPA. One of the main reason is did not take data structure courses before."
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science - Data Science, Masters (S18)","Accepted via E-mail on 22 Nov 2017 ","A","22 Nov 2017","Economics undergrad, strong gpa, no gre. 3 years data engineering experience. Lots of side projects."
"The University Of Illinois At Urbana-Champaign  UIUC","(Computer Science - Data Science, Masters (S18)","Accepted via E-mail on 17 Nov 2017 ","A","17 Nov 2017","Graduated at UIUC with a B.S. in Computer Engineering degree focusing on mostly CS courses. Worked at a small tech startup for a couple of years before applying for this program. Will continue to work while enrolling in classes."
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science - Data Science, Masters (S18)","Other via E-mail on 15 Nov 2017 ","A","17 Nov 2017","Received email saying they'd have a decision within 3-5 business days."
"The University Of Illinois At Urbana-Champaign  UIUC","(Computer Science - Data Science, Masters (S18)","Other via E-mail on 15 Nov 2017 ","A","16 Nov 2017","Got an email saying my application is still under review. They will notify me of a decision in 3-5 business days."
"Illinois At Urbana-Champaign (UIUC)inois At Urbana-Champaign (UIUC)","(Computer Science - Master Of Data Science MDS, Masters (S18)","Other via E-mail on 15 Nov 2017 ","A","16 Nov 2017","Inquired about application status via email and was notified decision would be emailed 3-5 days after deadline of Nov 15th."
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science - Data Science Track Online, Masters (S18)","Rejected via E-mail on 15 Nov 2017 ","A","16 Nov 2017",""
"Illinois At Urbana Champaign (UIUC)","Masters Of Computer Science Data Science, Masters (S18)","Other via E-mail on 15 Nov 2017 ","A","15 Nov 2017","Did anyone get the notification? I thought it was supposed to release by EOD today"
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science( MCS), Masters (F17), Masters (F17)","Accepted via E-mail on 7 Jul 2017 ","A","7 Aug 2017","3.8 GPA undergrad math major, ICPC world finalist, 1 publication."
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science - Data Science, Masters (F17)","Accepted via E-mail on 10 Jul 2017 ","I","15 Jul 2017","PhD candidate in Economics, strong quantitative orientation, many courses (including Master level) in CS from other distance university"
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science - Data Science, Masters (F17)","Accepted via E-mail on 10 Jul 2017 ","I","10 Jul 2017","Over 11 years of experience in networking, embedded systems, and IoT. Few patents and hackathon wins. Strong LORs."
"The University Of Illinois Urbana-Champaign (UIUC)","(Computer Science - Master Of Data Science MDS, Masters (F17)","Accepted via E-mail on 6 Jul 2017 ","A","6 Jul 2017","CpE undergrad. 6 yrs of SW Eng industry experience. Data Science projects on the side."
"The University Of Illinois Urbana-Champaign (UIUC)","(Computer Science - Master Of Data Science MDS, Masters (F17)","Accepted via E-mail on 6 Jul 2017 ","A","6 Jul 2017","CpE undergrad. 6 yrs of SW Eng industry experience. Data Science projects on the side."
"Illinois At Urbana-Champaign (UIUC)inois At Urbana-Champaign (UIUC)","Computer Science - Master Of Data Science MDS, Masters (F17)","Accepted via E-mail on 3 Jul 2017 ","I","6 Jul 2017","Strong recommendation letters, High GPA, 5 hackathon 1st prize in a year . 5 years of work experience in software engineering."
"The University Of Illinois At Urbana-Champaign  UIUC","(Computer Science - Data Science, Masters (F17)","Accepted via E-mail on 30 Jun 2017 ","U","3 Jul 2017","teching, research and publications in the field of Agri. Economics,  courses in statistics. Over 15 year programming in Supply Chain software solution. Strong LORs"
"The University Of Illinois At Urbana-Champaign UIUC","(Computer Science - Data Science, Masters (F17)","Rejected via E-mail on 30 Jun 2017 ","I","1 Jul 2017","Non CS undergrad. Excellent GPA. Very strong LOR's. 12 Years of Work experience including  some data science exp."
"The University Of Illinois At Urbana-Champaign  UIUC","(Computer Science - Data Science), Masters (F17)","Rejected via E-mail on 30 Jun 2017 ","A","1 Jul 2017","BBA-MIS undergrad (not an excellent GPA) 28 years experience in variety of IT positions including Director and Lead Consultant for C"
"The University Of Illinois At Urbana-Champaign  UIUC","(Computer Science - Data Science), Masters (S17)","Accepted via E-mail on 13 Apr 2017 ","O","13 Apr 2017","Strong recommendation letters, SOP had my personal experience at a cancer ward. 16 years of work experience in Supply Chain software solution development"
"Illinois At Urbana-Champaign (UIUC)","Computer Science( MCS), Masters (F17)","Rejected via E-mail on 15 Mar 2017 ","I","30 Mar 2017","Generic rejection email"
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science - MCS), Masters (F17)","Accepted via E-mail on 22 Mar 2017 ","U","29 Mar 2017",""
"Illinois At Urbana Champaign (UIUC)","Computer Science - MCS, Masters (F17)","Rejected via E-mail on 16 Mar 2017 Undergrad GPA: 9.99GRE General (V/Q/W): 155/160/4.00GRE Subject: n/a","I","21 Mar 2017",""
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science, Masters (F17)","Rejected via E-mail on 15 Mar 2017 Undergrad GPA: n/aGRE General (V/Q/W): 165/167/4.50GRE Subject: n/a","I","21 Mar 2017","8.52/10 from one of the top Indian schools. TOEFEL 116. 2 internships. 2 years relevant work experience in machine learning. Decent SOP. Mod - Strong LORs"
"Illinois At Urbana Champaign (UIUC)","(Computer Science, Masters (F17)","Rejected via E-mail on 18 Mar 2017 ","I","20 Mar 2017",""
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science, Masters (F17)","Rejected via E-mail on 15 Mar 2017 ","I","17 Mar 2017","EE undergrad (from outside US, but reputable/well-known university), TOEFL 115, GRE 168Q/162V, 2 years of work experience as software engineer, 8 months research experience (but no publications). No acceptances so far, 5th rejection, c'mon"
"UIUC","Computer Science, Masters (F17)","Rejected via E-mail on 16 Mar 2017 Undergrad GPA: 3.76GRE General (V/Q/W): 162/168/4.50GRE Subject: n/a","A","17 Mar 2017","Undergrad at uiuc for mechanical engineering. Then took 7 cs classes as non degree student and got 4.0 GPA. My guess is uiuc MCS only takes students with a cs bachelors"
"Uiuc","(Computer Science, Masters (F17)","Accepted via E-mail on 16 Mar 2017 Undergrad GPA: 3.80GRE General (V/Q/W): 159/166/3.50GRE Subject: n/a","I","16 Mar 2017","fully funded with RA under top prof kale. 2-year work ex at IISC. top college from Bangalore. 1 publication at HiPC."
"Univerisity Of Illinois At Urbana Champaign (UIUC)","Computer Science, Masters (F17)","Rejected via E-mail on 16 Mar 2017 ","I","16 Mar 2017",""
"Illinois At Urbana Champaign (UIUC)","(Computer Science, Masters (F17)","Rejected via E-mail on 15 Mar 2017 ","I","16 Mar 2017","MS"
"The University Of Illinois At Urbana-Champaign  UIUC","MS(computer Science), Masters (F17)","Rejected via E-mail on 16 Mar 2017 ","I","16 Mar 2017",""
"Illinois At Urbana Champaign (UIUC)","Computer Science, Masters (F17)","Rejected via E-mail on 16 Mar 2017 ","I","16 Mar 2017","Can't comment on this. I guess they need publications. Seems this time their intake is less, my friend in UIUC said. Trump effect!"
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science, PhD (F17)","Rejected via E-mail on 16 Mar 2017 Undergrad GPA: 3.40GRE General (V/Q/W): 159/164/4.00GRE Subject: n/a","I","16 Mar 2017","No publications so this was expected."
"University Of Illinois Ubana-Champaign (UIUC)","(Computer Science, PhD (F17)","Rejected via E-mail on 16 Mar 2017 ","I","16 Mar 2017",""
"Illinois At Urbana Champaign (UIUC)","(Computer Science, Masters (F17)","Rejected via E-mail on 16 Mar 2017 ","I","16 Mar 2017","My 6th rejection... Damn!"
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science, Masters (F17)","Rejected via E-mail on 16 Mar 2017 ","I","16 Mar 2017",""
"Illinois At Urbana Champaign (UIUC)","Computer Science, Masters (F17)","Rejected via E-mail on 16 Mar 2017 Undergrad GPA: n/aGRE General (V/Q/W): 160/168/4.00GRE Subject: n/a","I","16 Mar 2017","Slightly disappointed :("
"Illinois At Urbana-Champaign (UIUC)","(Computer Science, Masters (F17)","Rejected via E-mail on 16 Mar 2017 ","I","16 Mar 2017",""
"Illinois At Urbana-Champaign (UIUC)","(Computer Science, Masters (F17)","Rejected via E-mail on 16 Mar 2017 Undergrad GPA: n/aGRE General (V/Q/W): 158/168/4.50GRE Subject: n/a","I","16 Mar 2017","CGPA 8.4/10, GRE 326, TOEFL 107"
"The University Of Illinois At Urbana-Champaign  UIUC","(Computer Science, Masters (F17)","Rejected via E-mail on 16 Mar 2017 ","I","16 Mar 2017",""
"Illinois At Urbana Champaign (UIUC)","(Computer Science - MCS), Masters (F17)","Rejected via E-mail on 16 Mar 2017 Undergrad GPA: 3.15GRE General (V/Q/W): 155/168/3.50GRE Subject: n/a","I","16 Mar 2017","NIT, Low GPA, Good LoRs and SoP"
"Illinois At Urbana Champaign (UIUC)","(Computer Science, Masters (F17)","Rejected via E-mail on 16 Mar 2017 Undergrad GPA: 3.50GRE General (V/Q/W): 163/164/4.50GRE Subject: n/a","I","16 Mar 2017","Generic rejection mail stating not to contact for reason. 4 rejects this season and 0 acceptance. The going doesnt seem to be strong. Very very stressed out. Hopes are dwindling at this end now. (Undergrad from MU)"
"Illinois At Urbana Champaign (UIUC)","(Computer Science, Masters (F17)","Rejected via E-mail on 16 Mar 2017 Undergrad GPA: 3.86GRE General (V/Q/W): 162/164/4.00GRE Subject: n/a","I","16 Mar 2017","3 years Work Experience."
"Illinois At Urbana Champaign (UIUC)","(Computer Science - MCS), Masters (F17)","Rejected via E-mail on 16 Mar 2017 Undergrad GPA: 3.50GRE General (V/Q/W): 160/170/3.00GRE Subject: n/a","I","16 Mar 2017","3.5 yrs exp. Ece undergraduate from NIT. 113 Toefl. No hope for me! Rejected by all, even by the likes of NCSU and NEU. Really Sad."
"The University Of Illinois At Urbana-Champaign  UIUC","Computer Science, Machine Learning, PhD (F17)","Rejected via E-mail on 16 Mar 2017 Undergrad GPA: 4.00GRE General (V/Q/W): 156/167/4.50GRE Subject: n/a","U","16 Mar 2017","Choked on an interview with POI, wasn't expecting it to be so technical. I still haven't gotten any acceptances and this is quite worrying :'(."
"Illinois At Urbana Champaign (UIUC)","Computer Science, Masters (F17)","Rejected via E-mail on 15 Mar 2017 Undergrad GPA: 3.85GRE General (V/Q/W): 167/166/5.00GRE Subject: n/a","I","16 Mar 2017",""
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science, Masters (F17)","Rejected via E-mail on 16 Mar 2017 Undergrad GPA: 3.63GRE General (V/Q/W): 151/170/3.50GRE Subject: n/a","I","16 Mar 2017","EE undergrad"
"The University Of Illinois At Urbana-Champaign  UIUC","Computer Science, PhD (F17)","Rejected via E-mail on 15 Mar 2017 ","I","15 Mar 2017",""
"UIUC","Computer Science, Masters (F17)","Rejected via E-mail on 15 Mar 2017 ","A","15 Mar 2017",":(  rejected from MCS program today.  I thought MCS was supposed to be easier to get into.  Berkeley/Stanford engineer changing to CS."
"UIUC","Computer Science - MCS, Masters (F17)","Accepted via E-mail on 15 Mar 2017 Undergrad GPA: 3.88GRE General (V/Q/W): 155/170/4.00GRE Subject: n/a","I","15 Mar 2017",""
"The University Of Illinois At Urbana-Champaign  UIUC","(Computer Science, Masters (F17)","Rejected via E-mail on 15 Mar 2017 ","I","15 Mar 2017",""
"Illinois At Urbana Champaign (UIUC)","(Computer Science, PhD (F17)","Rejected via E-mail on 15 Mar 2017 ","U","15 Mar 2017",""
"Illinois At Urbana Champaign (UIUC)","(Computer Science - MCS), Masters (F17)","Rejected via E-mail on 15 Mar 2017 ","I","15 Mar 2017",""
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science, PhD (F17)","Rejected via E-mail on 15 Mar 2017 ","A","15 Mar 2017","Was my dream school, but expected. Congrats to those who got in!"
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science, Masters (F17)","Rejected via E-mail on 15 Mar 2017 ","A","15 Mar 2017","Area: Graphics/HCI/Visualization"
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science, Masters (F17)","Rejected via E-mail on 15 Mar 2017 Undergrad GPA: 4.00GRE General (V/Q/W): 163/168/4.50GRE Subject: n/a","I","15 Mar 2017",""
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science (MCS), Masters (F17)","Accepted via E-mail on 15 Mar 2017 ","U","15 Mar 2017",""
"The University Of Illinois At Urbana-Champaign UIUC","Computer Science, Masters (F17)","Accepted via E-mail on 14 Mar 2017 Undergrad GPA: 3.50GRE General (V/Q/W): 158/168/4.00GRE Subject: n/a","A","14 Mar 2017","THE WORLD IS MY OYSTER MWAHAHAHHAHAA"
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science, Masters (F17)","Other via E-mail on 14 Mar 2017 ","A","14 Mar 2017","Telling the poster below. I applied for DAIS and I got an acceptance a month ago."
"Illinois At Urbana Champaign (UIUC)","Master Of Computer Science, Masters (F17)","Other via Other on 13 Mar 2017 ","","13 Mar 2017","Has anyone who applied for Databases and Information Systems receive any acceptance or rejection email ?"
"UIUC","Computer Science, Masters (F17)","Other via Other on 10 Mar 2017 ","O","10 Mar 2017","To the UIUC admit below. Congrats. Can you let me know the time you got the mail and did you have any interview?. Thanks"
"University Of Illinois Urbana Champagne (UIUC)","Computer Science, Masters (F17)","Accepted via E-mail on 10 Mar 2017 Undergrad GPA: 3.83GRE General (V/Q/W): 159/165/4.00GRE Subject: n/a","I","10 Mar 2017","THIS IS HAPPENING!!! Couldn't be more excited! Dream school (check). Systems and Networking. 2 research interns: IBM Research and Microsoft Research, collaborative projects with EMC Dell and Xerox Research India. Strong LoRs."
"Illinois At Urbana Champaign (UIUC)","Computer Science, Masters (F17)","Other via Other on 8 Mar 2017 ","O","8 Mar 2017","Has UIUC MS CS given out all the admission yet?"
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science, Masters (F17)","Other via Other on 2 Mar 2017 ","I","2 Mar 2017","To the UIUC MS CS admit below (27th Feb) - did you have an interview? Also, which research area? Thanks!"
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science, Masters (F17)","Accepted via E-mail on 27 Feb 2017 ","I","2 Mar 2017",""
"UIUC","Computer Science, Masters (F17)","Other via Other on 28 Feb 2017 ","I","28 Feb 2017","To UIUC posters - Has anyone received admit from Systems and Networking track ?"
"University Of Illinois At Urbana Champaign (UIUC)","(Computer Science, Masters (F17)","Accepted via E-mail on 24 Feb 2017 ","A","25 Feb 2017","Originally an Aerospace Engineer grad from UIUC with emphasis in mathematical algorithms. Spent three years in industry working on algorithms for missile systems and related tech."
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science, PhD (F17)","Accepted via E-mail on 23 Feb 2017 ","I","24 Feb 2017","Fully funded offer with RA. Undergrad from a top NIT in India. Field: Computer Architecture"
"Illinois At Urbana Champaign (UIUC)","(Computer Science, Masters (F17)","Other via Other on 21 Feb 2017 ","O","21 Feb 2017","Are all the decisions for UIUC MS CS out? :("
"Illinois At Urbana-Champaign (UIUC)","(Computer Science - Software Engineering), PhD (F17)","Accepted via E-mail on 23 Jan 2017 Undergrad GPA: 3.50GRE General (V/Q/W): 167/167/4.00GRE Subject: n/a","A","21 Feb 2017",""
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science, Masters (F17)","Accepted via E-mail on 10 Feb 2017 ","U","15 Feb 2017","ECE undergrad from UIUC. did research under 2 professors."
"Illinois At Urbana Champaign (UIUC)","Computer Science, Masters (F17)","Other via Other on 11 Feb 2017 ","O","11 Feb 2017","To the ones who added UIUC accepts today: At what time did you receive these mails?
"
"Illinois At Urbana Champaign (UIUC)","MS In Computer Science, Masters (F17)","Accepted via E-mail on 11 Feb 2017 Undergrad GPA: 3.60GRE General (V/Q/W): 157/168/4.00GRE Subject: n/a","I","11 Feb 2017","Indian student. not from NIT or IIT, 1 publication in relevant field of prof. 2 Google Summer of Code projects and one of them was in the profs domain. One international research internship as well. First accept and will be going with this."
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science, Masters (F17)","Accepted via E-mail on 11 Feb 2017 Undergrad GPA: 9.25GRE General (V/Q/W): 159/170/5.00GRE Subject: n/a","I","11 Feb 2017","Accepted to Masters which can be extended to PhD pending a professor's approval during Masters. No interview. Mail indicated multiple professors showed ""interest"". RAship. Field: AI."
"Illinois At Urbana Champaign (UIUC)","Computer Science, Masters (F17)","Accepted via E-mail on 8 Feb 2017 Undergrad GPA: n/aGRE General (V/Q/W): 164/170/4.50GRE Subject: n/a","I","11 Feb 2017","To the poster below- I got an admit with TAship without any interview. There's hope!"
"Illinois At Urbana Champaign (UIUC)","Computer Science, Masters (F17)","Accepted via E-mail on 10 Feb 2017 Undergrad GPA: 3.65GRE General (V/Q/W): 167/162/5.00GRE Subject: n/a","A","10 Feb 2017","Contacted by POI in January, encouraged me to go for a PhD (I planned to after my MS). Offered TAship (stipend, fee/tuition waiver). Background: B.A. in Psychology from a UC, spent past 1 1/2 years doing CS pre-reqs at a CSU."
"Illinois At Urbana-Champaign (UIUC)","Computer Science, Masters (F17)","Accepted via E-mail on 10 Feb 2017 Undergrad GPA: 4.00GRE General (V/Q/W): 168/170/4.50GRE Subject: n/a","I","10 Feb 2017","Theory"
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science, Masters (F17)","Accepted via E-mail on 10 Feb 2017 Undergrad GPA: n/aGRE General (V/Q/W): 160/170/4.50GRE Subject: n/a","I","10 Feb 2017","IIT Hyderabad, CGPA: 9.61, 1 publication, research internship at UTokyo, strong LORs (all 3, I guess :P). Yay! Excited to join the Systems Research Group! :D"
"Illinois Urbana Champaign (UIUC)","Computer Science, Masters (F17)","Other via Other on 9 Feb 2017 ","A","9 Feb 2017","To the poster below on the MCS, I think they released many if not all of their Master's with thesis decisions, considering many of them talk about research, and that's what they're going to prioritize. You will probably see the first trickles soon for non-thesis Masters."
"University Of Illinois Urbana Champaign (UIUC)","Computer Science, Masters (F17)","Accepted via E-mail on 8 Feb 2017 Undergrad GPA: n/aGRE General (V/Q/W): 163/170/0.00GRE Subject: n/a","I","8 Feb 2017",""
"UIUC","Computer Science, Masters (F17)","Accepted via E-mail on 8 Feb 2017 Undergrad GPA: 3.58GRE General (V/Q/W): 158/162/4.50GRE Subject: n/a","A","8 Feb 2017",""
"Illinois At Urbana-Champaign (UIUC)","Computer Science, Masters (F17)","Accepted via E-mail on 8 Feb 2017 Undergrad GPA: n/aGRE General (V/Q/W): 164/170/4.50GRE Subject: n/a","I","8 Feb 2017","To the poster below. EE undergrad from IIT. Multiple projects/internships in ML, NLP, Comp Bio. 1 IEEE publication. Applied to Comp Bio/ML."
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science, Masters (F17)","Accepted via E-mail on 8 Feb 2017 Undergrad GPA: 3.88GRE General (V/Q/W): 160/168/5.00GRE Subject: n/a","A","8 Feb 2017","UIUC ECE undergrad accepted to CS MS program"
"Illinois At Urbana Champaign (UIUC)","Computer Science, Masters (F16)","Other via Other on 8 Feb 2017 ","I","8 Feb 2017","To the poster below, what is your profile for MS in CS"
"Illinois At Urbana Champaign (UIUC)","Computer Science, Masters (F17)","Accepted via E-mail on 8 Feb 2017 Undergrad GPA: n/aGRE General (V/Q/W): 164/170/4.50GRE Subject: n/a","I","8 Feb 2017","Fee Waiver + TAship"
"Illinois At Urbana Champaign (UIUC)","(Computer Science, PhD (F17)","Accepted via E-mail on 27 Jan 2017 ","U","2 Feb 2017",""
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science, PhD (F17)","Accepted via E-mail on 28 Jan 2017 Undergrad GPA: 3.60GRE General (V/Q/W): 155/170/4.00GRE Subject: n/a","I","30 Jan 2017","Interviewed at 1/16. First year RAship"
"The University Of Illinois At Urbana-Champaign  UIUC","(Computer Science, PhD (F17)","Accepted via E-mail on 25 Jan 2017 Undergrad GPA: n/aGRE General (V/Q/W): 161/170/4.00GRE Subject: n/a","I","25 Jan 2017",""
