"Institution","Program (Season)","Decision & Date","St1","Date Added","Notes"
"Boston University School Of Public Health","Health Sciences Research, PhD (F18)","Interview via E-mail on 22 Jan 2018 ","A","22 Jan 2018","Invited to on-campus interview day after phone interview in early Jan"
"University Of Massachusetts - Boston (UMass Boston)","Developmental And Brain Sciences, PhD (F18)","Interview via E-mail on 22 Jan 2018 Undergrad GPA: 3.10GRE General (V/Q/W): 157/148/3.50GRE Subject: n/a♦","A","22 Jan 2018","Interview day - February 9th"
"Boston University","Program In Biomedical Sciences (PiBS), PhD (F18)","Wait listed via E-mail on 20 Jan 2018 ","A","20 Jan 2018","""Unfortunately, your application was not chosen for an interview.  However, we are keeping your application active. This indicates that your candidacy is still of interest to us and we are keeping it on hold for the time being. In the event we that have available student slots in our class after our initial interview and acceptance process, we may contact you to set up an interview."""
"The University Of Massachusetts Boston","Counseling Psychology, PhD (F18)","Other via Other on 19 Jan 2018 ","A","19 Jan 2018","Has anyone received an interview invite to UMass Boston counseling PhD prorgram besides those who received an email on January 12?"
"Boston University School Of Public Health","Applied Biostatistics, Masters (F18)","Rejected via E-mail on 18 Jan 2018 ","A","19 Jan 2018",""
"The University Of Massachusetts Boston","Clinical Psychology, PhD (F18)","Interview via E-mail on 16 Jan 2018 ","A","16 Jan 2018","Email from POI (HL) for informal phone interview this week."
"University Of Massachusetts (Boston)","Clinical Psychology, PhD (F18)","Interview via E-mail on 16 Jan 2018 ","A","16 Jan 2018","Email from POI (HL) for preliminary phone interview tomorrow (1/17)."
"Boston University (BU)","Mechanical Engineering, PhD (F18)","Accepted via E-mail on 12 Jan 2018 ","A","12 Jan 2018","Five peer-reviewed publications, with two additional first authors in progress.  Nine conference posters, two conference talks, two conference proceedings, and two patents pending."
"Boston University Metropolitan College","MS In Global Marketing Management, Masters (F18)","Accepted via E-mail on 11 Dec 2017 Undergrad GPA: 3.96GRE General (V/Q/W): 158/156/4.50GRE Subject: n/a♦","U","11 Jan 2018",""
"University Of Massachusetts Boston","School Psychology, PhD (F18)","Interview via E-mail on 27 Dec 2017 ","A","10 Jan 2018","Invitation to interview on 2/9/18"
"Boston University School Of Public Health","Health Services Research, PhD (F18)","Interview via E-mail on 2 Jan 2018 ","A","5 Jan 2018","Was offered two potential dates for a phone interview with faculty members"
"The University Of Massachusetts Boston","Applied/School Psychology, PhD (F18)","Interview via E-mail on 28 Dec 2017 ","","29 Dec 2017",""
"Boston University (BU)","Biomolecular Pharmacology, PhD (F18)","Interview via E-mail on 14 Dec 2017 Undergrad GPA: 3.13GRE General (V/Q/W): 167/159/4.50GRE Subject: n/a♦","A","14 Dec 2017",""
"Boston University School Of Medicine","Forensic Anthroplogy, Masters (F17)","Accepted via E-mail on 15 May 2017 ","A","15 May 2017",""
"Boston University - Fredrick S. Pardee School Of Global Studies","International Relations & Diplomacy, Masters (F17)","Accepted via E-mail on 25 Apr 2017 ","I","25 Apr 2017","no scholarship, but still excited with the acceptance!"
"Northeastern University Boston","(Computer Science ), PhD (F17)","Rejected via Website on 19 Apr 2017 ","I","19 Apr 2017",""
"Boston University (BU)","Economics, Masters (F17)","Other via Other on 11 Apr 2017 Undergrad GPA: n/aGRE General (V/Q/W): 0/170/0.00GRE Subject: n/a♦","","12 Apr 2017","Accidentally posted the last one as ""PhD"" acceptance when really it was for their MA."
"Boston University (BU)","Economics, PhD (F17)","Accepted via E-mail on 11 Apr 2017 Undergrad GPA: 3.60GRE General (V/Q/W): 0/170/0.00GRE Subject: n/a♦","A","12 Apr 2017","Admitted with 10k/semester for tuition after getting a first email telling me I wouldn't get funding.  Will decline for full funding at top-30 phd."
"Boston University & Northeastern","Network Science, PhD (F17)","Rejected via E-mail on 10 Apr 2017 Undergrad GPA: 3.99GRE General (V/Q/W): 168/170/5.00GRE Subject: 980♦","I","11 Apr 2017","Already received acceptance from Stanford and MIT. But now this rejection seems weird !!!"
"Boston University & Northeastern","Network Science, PhD (F17)","Rejected via E-mail on 11 Apr 2017 ","I","11 Apr 2017",""
"Boston University Questrom School Of Business","Operations And Technology Management, PhD (F17)","Accepted via E-mail on 28 Mar 2017 ","U","10 Apr 2017",""
"Boston University","Creative Writing (Fiction)ing, MFA (F17)","Rejected via E-mail on 7 Apr 2017 ","A","7 Apr 2017","Kind email. 4a/2w/5r"
"Boston University","Creative Writing (Fiction MFA), MFA (F17)","Rejected via E-mail on 31 Mar 2017 ","A","3 Apr 2017","Expected. Me dunz: 2a/0w/10r. Tbh, I made errors on 10 out of the 12 manuscripts that I sent in (not that I didn't read then reread the stories--because I did, so many times--but you know how those tricky extra words sneak in....). Take a guess which programs accepted me.
I don't know if this means I would have a better shot next year if I made 100% sure my manuscripts were error-free, but for all others out there who maybe made mistakes on their apps, know it's not just you. It's me too (sobs 4 days)."
"Boston University","Creative Writing  (Poetry), MFA, MFA (F17)","Rejected via E-mail on 31 Mar 2017 ","A","31 Mar 2017","3a/2w/8r/0d/4i/1y/54k/0p/5n"
"Boston University","Creative Writing (Fiction), MFA (F17)","Wait listed via E-mail on 31 Mar 2017 ","A","31 Mar 2017","Received an email an hour ago that I was in the top 60 out of 500 applicants and that they can't disclose my place on the waitlist, but that 5 accepted students have already accepted their spots and 5 are still unconfirmed."
"Boston University - Fredrick S. Pardee School Of Global Studies","International Relations And International Communications, Masters (F17)","Accepted via E-mail on 31 Mar 2017 ","","31 Mar 2017","Accepted with scholarship of 12K a year. However, BU seems pretty steep. Does anyone know how good the assistantship opportunities at the Pardee School are?"
"Boston University","Computer Science, PhD (F17)","Other via Other on 31 Mar 2017 ","I","31 Mar 2017","Has anybody heard of CS department for PhD? March is over, yet no news. I'm hesitant to accept another offer."
"Boston University","Art History / History Of Art And Architecture, PhD (F17)","Wait listed via Phone on 30 Mar 2017 ","A","30 Mar 2017","First on waitlist for BU PhD program...but I'll only be accepted if someone turns them down in the next couple of days. So if you're sitting on an acceptance and you're not going...please let them know!"
"Boston University, University Of Florida, Northwestern, UW Milwaukee","Astronomy, PhD (F17)","Other via Other on 28 Mar 2017 ","A","28 Mar 2017","All of them are excellent. But I prefer UW Milwaukee or University Of Florida if I am interested in theoretical Astrophysics. My research is about GW."
"Boston University (BU)","Musicology, PhD (F17)","Accepted via E-mail on 28 Mar 2017 ","A","28 Mar 2017","removed from wait list"
"Northeastern University, Boston","Computer Science, Masters (F17)","Accepted via E-mail on 28 Mar 2017 Undergrad GPA: 3.60GRE General (V/Q/W): 151/160/4.00GRE Subject: n/a♦","I","28 Mar 2017",""
"Boston University (BU)","Economics, PhD (F17)","Rejected via E-mail on 27 Mar 2017 Undergrad GPA: 3.30GRE General (V/Q/W): 169/168/4.50GRE Subject: n/a♦","A","27 Mar 2017","Feels bad man. 3a/2w/14r/2p"
"Boston University (Questrom)","Marketing, PhD (F17)","Rejected via E-mail on 24 Mar 2017 Undergrad GPA: 3.64GRE General (V/Q/W): 149/166/3.00GRE Subject: n/a♦","I","26 Mar 2017",""
"Boston University","Philosophy, PhD (F17)","Accepted via E-mail on 3 Mar 2017 ","A","25 Mar 2017","3a/2w/7r"
"Boston University (Questrom)","Information Systems, PhD (F17)","Rejected via E-mail on 25 Mar 2017 ","I","25 Mar 2017",""
"Boston University Questrom School Of Business","Business (managment), PhD (F17)","Rejected via E-mail on 24 Mar 2017 ","I","25 Mar 2017",""
"Boston University Questrom School Of Business","Operations And Technology Management, PhD (F17)","Wait listed via E-mail on 24 Mar 2017 ","U","25 Mar 2017","Waitlisted, that's my absolute first choice please reject if you are not gonna accept the offer. Thanks and best wishes."
"Boston University","Economics, PhD (F17)","Rejected via E-mail on 24 Mar 2017 ","I","24 Mar 2017",""
"Boston University","Forensic Anthropology, Masters (F17)","Rejected via E-mail on 23 Mar 2017 ","","23 Mar 2017",""
"Boston University","Economics, PhD (F17)","Wait listed via E-mail on 21 Mar 2017 ","U","21 Mar 2017","Please decline their offer if you are not attending. Thanks!"
"Boston University (BU) - College Of Fine Arts","Music Composition DMA, Other (F17)","Rejected via E-mail on 21 Mar 2017 ","A","21 Mar 2017","Not surprised, but disappointed."
"Boston University Frederick S. Pardee School Of Global Affairs","International Affairs, Masters (F17)","Accepted via E-mail on 21 Mar 2017 ","I","21 Mar 2017",""
"Boston University","Mechanical Engineering, PhD (F17)","Other via Other on 20 Mar 2017 ","I","20 Mar 2017","I haven't received any email from BU. Please tell me about this. I am wondering if it means I am rejected?
"
"Boston University (BU) - College Of Fine Arts","Musicology, Masters (F17)","Accepted via E-mail on 17 Mar 2017 ","A","17 Mar 2017","Email with 1/4 tuition grant"
"Boston University School Of Medicine","Anthropology (Forensic), Masters (F17)","Accepted via E-mail on 1 Mar 2017 ","A","16 Mar 2017",""
"Northeastern University, Boston","Computer Scinece, Masters (F17)","Rejected via Website on 13 Mar 2017 ","I","14 Mar 2017",""
"University Of Massachusetts Boston","School Psychology, Masters (F17)","Accepted via E-mail on 13 Mar 2017 Undergrad GPA: n/aGRE General (V/Q/W): 159/156/4.50GRE Subject: n/a♦","A","13 Mar 2017","Very excited!"
"Boston University","Counseling, Masters (F17)","Other via Other on 13 Mar 2017 ","A","13 Mar 2017","Still have not heard back. Anyone hear anything yet?"
"The University Of Massachusetts Boston","Biology, Masters (F17)","Accepted via E-mail on 13 Mar 2017 Undergrad GPA: 3.76GRE General (V/Q/W): 165/165/5.00GRE Subject: n/a♦","A","13 Mar 2017","Accepted with full funding, was not expecting this given that I had no research experience"
"Boston University School Of Public Health","All Majors, PhD (F17)","Other via Website on 13 Mar 2017 ","A","13 Mar 2017","Boston - it's time. Please let us know"
"Boston University (BU)","Deparment Of Political Science, PhD (F17)","Accepted via E-mail on 10 Mar 2017 Undergrad GPA: 3.85GRE General (V/Q/W): 162/170/4.50GRE Subject: n/a♦","I","13 Mar 2017","Email from the director of graduate studies. Comparative subfield. Good luck to all those who are waiting!"
"Boston University (BU)","Materials Science And Engineeringering, Masters (F17)","Accepted via E-mail on 9 Mar 2017 ","","12 Mar 2017",""
"Boston University, University Of Florida, Northwestern, UW Milwaukee","Astronomy, PhD (F17)","Other via Other on 11 Mar 2017 ","O","11 Mar 2017","Any idea which is better among these for theoretical work in astronomy?"
"Boston University","2 Year Social Work (MSW), Masters (F17)","Accepted via Phone on 10 Mar 2017 ","A","10 Mar 2017","Really surprised. 2a/0r/0w/3p"
"Boston University","American And New England Studies, PhD (F17)","Rejected via E-mail on 9 Mar 2017 ","A","10 Mar 2017","Informal email from program, disappointed but have acceptances other places so not too disheartened!"
"Boston University School Of Public Health","Public Health, Masters (F17)","Accepted via E-mail on 10 Jan 2017 ","U","9 Mar 2017",""
"Boston University","Creative Writing (Fiction), MFA (F17)","Other via Other on 8 Mar 2017 ","I","8 Mar 2017","Anything from BU Fiction yet? I saw someone got a call from the poetry program."
"Boston University College Of Communication","Cinema, MFA (F17)","Accepted via E-mail on 7 Mar 2017 ","A","8 Mar 2017","$30,000 Merit Scholarship"
"Boston University School Of Education","Applied Child Psychology/Educational Psychology, Masters (F17)","Accepted via E-mail on 8 Mar 2017 Undergrad GPA: 3.12GRE General (V/Q/W): 159/155/0.00GRE Subject: n/a♦","A","8 Mar 2017","submitted app 1/10, received notification 3/8"
"Boston University","Advertising, Masters (F17)","Accepted via E-mail on 7 Mar 2017 Undergrad GPA: 3.50GRE General (V/Q/W): 151/140/3.50GRE Subject: n/a♦","A","8 Mar 2017","Top choice. With funding. Poor GRE scores strong SOP, LOR, and experience. Good luck to everyone."
"Boston University","Health Services Research, PhD (F17)","Accepted via E-mail on 2 Mar 2017 ","A","7 Mar 2017",""
"Boston University","Economics, PhD (F17)","Accepted via E-mail on 7 Mar 2017 Undergrad GPA: n/aGRE General (V/Q/W): 160/168/4.00GRE Subject: n/a♦","I","7 Mar 2017",""
"Boston University","Economics, PhD (F17)","Accepted via E-mail on 7 Mar 2017 Undergrad GPA: 3.50GRE General (V/Q/W): 152/168/3.50GRE Subject: n/a♦","I","7 Mar 2017","full tuition and 22 k annual stipend,  1a/0w/4r/3?"
"Boston University","Economics, PhD (F17)","Accepted via E-mail on 7 Mar 2017 ","A","7 Mar 2017","22k stipend with 7k summer. no obligations first year.

Excited!"
"Boston University School Of Public Health","Public Health, Other (F17)","Accepted via E-mail on 7 Mar 2017 ","","7 Mar 2017","DrPH"
"Boston University (BU)","Economics, PhD (F17)","Accepted via E-mail on 7 Mar 2017 Undergrad GPA: n/aGRE General (V/Q/W): 168/169/4.50GRE Subject: n/a♦","A","7 Mar 2017","So excited!! $22k stipend + 7k summer support. 5a/0w/10r/8?"
"Boston University (BU)","Economics, PhD (F17)","Accepted via E-mail on 7 Mar 2017 Undergrad GPA: n/aGRE General (V/Q/W): 170/167/4.00GRE Subject: n/a♦","I","7 Mar 2017","Received an e-mail just now. Already wrote back declining the offer."
"Boston University School Of Public Health","DrPH, Other (F17)","Accepted via E-mail on 7 Mar 2017 ","","7 Mar 2017",""
"University Of Massachusetts Boston","Clinical Psychology, PhD (F17)","Accepted via E-mail on 6 Mar 2017 Undergrad GPA: 3.80GRE General (V/Q/W): 166/163/5.50GRE Subject: 760♦","A","6 Mar 2017",""
"University Of Massachusetts Boston","Clinical Psychology, PhD (F17)","Rejected via E-mail on 6 Mar 2017 Undergrad GPA: 3.90GRE General (V/Q/W): 160/150/4.50GRE Subject: 770♦","A","6 Mar 2017",""
"The University Of Massachusetts Boston","Clinical Psychology, PhD (F17)","Accepted via E-mail on 6 Mar 2017 Undergrad GPA: 4.00GRE General (V/Q/W): 168/164/6.00GRE Subject: 800♦","A","6 Mar 2017",""
"Boston University","Communication Sciences & Disorders --Speech Pathology, Masters (F17)","Other via Other on 3 Mar 2017 ","A","3 Mar 2017","I called BU today to see if they give out funding separately from the admin email/letter. They said if it's not in the letter, there is little to no chance of merit based aid."
"Boston University","Philosophy, Masters (F17)","Accepted via E-mail on 3 Mar 2017 Undergrad GPA: 4.00GRE General (V/Q/W): 169/155/4.00GRE Subject: n/a♦","A","3 Mar 2017","Informal email from department head. Applied to PhD, accepted to MA. No funding (so I probably will be declining). 2a/0w/2r out of 8"
"University Of Massachusetts Boston","Counseling Psychology, PhD (F17)","Wait listed via E-mail on 3 Mar 2017 ","","3 Mar 2017","Email from DCT"
"Boston University (Sargent)","Communicative Science/Speech Language Pathology, Masters (F17)","Other via Other on 3 Mar 2017 ","A","3 Mar 2017","To the people below asking about aid/scholarships - my scholarship info was in the second paragraph of the email I received, directly below the actual offer of admission."
"Boston University","Speech-language Pathology, Masters (F17)","Accepted via E-mail on 3 Mar 2017 ","A","3 Mar 2017","Accepted!!! To the posters below-how did you find out that you got a scholarship?"
"University Of Massachusetts Boston","Clinical Psychology, PhD (F17)","Other via Other on 3 Mar 2017 ","A","3 Mar 2017","FYI. I spoke with DCT, who told me that all of the students selected have accepted offers of admission. Therefore, they will not be making any more offers to those placed on the waitlist."
"Boston University","CDDS- Speech-Language Pathology, Masters (F17)","Other via Other on 3 Mar 2017 ","A","3 Mar 2017","For those who received aid from Boston University, where did you find that information? Was it in the original acceptance email?"
"Boston University & Northeastern","Network Science, PhD (F17)","Accepted via E-mail on 2 Mar 2017 ","I","2 Mar 2017","Email to check the website"
"Boston University & Northeastern","Communication Sciences & Disorders, Masters (F17)","Accepted via Other on 2 Mar 2017 ","A","2 Mar 2017","Does anybody know when Northeastern notifies accepted applicants about funding? I got a letter on my portal, but it did not include any financial aid info.

Also, for those who got into BU --was your award written into the letter you were sent? I received an acceptance email, but there was no scholarship info."
"Boston University","Speech, Language Pathology, Masters (F17)","Wait listed via E-mail on 2 Mar 2017 Undergrad GPA: 3.80GRE General (V/Q/W): 152/151/4.50GRE Subject: n/a♦","A","2 Mar 2017",""
"Boston University (Sargent)","Speech Language Pathology, Masters (F17)","Accepted via E-mail on 2 Mar 2017 Undergrad GPA: 3.73GRE General (V/Q/W): 164/160/4.50GRE Subject: n/a♦","A","2 Mar 2017","Accepted with $18,000/year scholarship."
"Boston University","Philosophy, Masters (F17)","Accepted via E-mail on 1 Mar 2017 ","A","2 Mar 2017",""
"Boston University","Emergine Media Studies, Masters (F17)","Accepted via E-mail on 2 Mar 2017 Undergrad GPA: 3.20GRE General (V/Q/W): 154/148/5.00GRE Subject: n/a♦","A","2 Mar 2017","With funding and a TA position. Over the moon! Still have more schools to wait on but this is already amazing!"
"Boston University (BU)","Speech-Language Pathology (SLP), Masters (F17)","Accepted via E-mail on 2 Mar 2017 ","A","2 Mar 2017",""
"Boston University School Of Public Health","Health Services Research, PhD (F17)","Accepted via E-mail on 2 Mar 2017 Undergrad GPA: 3.92GRE General (V/Q/W): 164/154/5.00GRE Subject: n/a♦","A","2 Mar 2017",""
"Boston University (BU)","Speech Language Pathology, Masters (F17)","Wait listed via E-mail on 2 Mar 2017 Undergrad GPA: 3.73GRE General (V/Q/W): 151/148/4.00GRE Subject: n/a♦","A","2 Mar 2017",""
"Boston University","CDDS Speech Pathology/ Communication Disorders, Masters (F17)","Accepted via E-mail on 2 Mar 2017 Undergrad GPA: 3.65GRE General (V/Q/W): 164/156/4.50GRE Subject: n/a♦","A","2 Mar 2017","Accepted without scholarship."
"Boston University","Communication Disorders / Speech Language Pathology, Masters (F17)","Accepted via E-mail on 2 Mar 2017 Undergrad GPA: 3.64GRE General (V/Q/W): 170/156/5.00GRE Subject: n/a♦","A","2 Mar 2017","Just got the email saying I've been accepted. I'm so excited! More info to come in the mail. 4a/0r/0w/5p"
"University Of Massachusetts Boston","Clinical Psychology, PhD (F17)","Accepted via Phone on 2 Mar 2017 Undergrad GPA: 3.70GRE General (V/Q/W): 162/151/5.00GRE Subject: 770♦","A","2 Mar 2017","Accepted off wait list! I'm super excited :) I've accepted the offer. POI initials LR"
"Boston University (Sargent)","Communicative Science/Speech Language Pathology, Masters (F17)","Accepted via E-mail on 2 Mar 2017 Undergrad GPA: 3.90GRE General (V/Q/W): 168/160/4.00GRE Subject: n/a♦","A","2 Mar 2017","Accepted with a $36k scholarship!"
"Boston University","Biomedical Sciences PiBS, PhD (F17)","Other via Other on 2 Mar 2017 ","I","2 Mar 2017","To all BU PiBS admits, kindly join (BU PiBS Incoming Students, Fall 2017) on Facebook. See you soon. Cheers!"
"Boston University - Fredrick S. Pardee School Of Global Studies","(IREP) International Relations And Environmental Politics (Pardee Global Studies), Masters (F17)","Accepted via E-mail on 14 Feb 2017 Undergrad GPA: 3.23GRE General (V/Q/W): 159/155/4.00GRE Subject: n/a♦","A","2 Mar 2017",""
"Boston University (BU)","Physics, PhD (F17)","Rejected via E-mail on 21 Feb 2017 Undergrad GPA: 3.69GRE General (V/Q/W): 160/163/4.50GRE Subject: 720♦","A","2 Mar 2017","This one hurts :( applied for hep-ex and hep-ph, which probably didn't help"
"Boston University","Screenwriting, MFA (F17)","Accepted via E-mail on 1 Mar 2017 ","A","1 Mar 2017",""
"Boston University","Mass Communication: Communication Studies, Masters (F17)","Accepted via E-mail on 1 Mar 2017 ","A","1 Mar 2017",""
"Boston University - School Of Public Health","Epidemiology, PhD (F17)","Rejected via E-mail on 1 Mar 2017 Undergrad GPA: 3.56GRE General (V/Q/W): 163/167/5.50GRE Subject: n/a♦","A","1 Mar 2017","Not surprised. No interview and this was also the only school where I did not speak to a single POI before applying. In fact, a faculty member told me she would be willing to speak with me only if I was accepted which turned me off quite a bit.

3a/1w/1r/1pending"
"Boston University","Forensic Anthropology, Masters (F17)","Accepted via E-mail on 1 Mar 2017 ","A","1 Mar 2017",""
"Boston University","Epidemiology, PhD (F17)","Accepted via E-mail on 28 Feb 2017 ","A","1 Mar 2017",""
"Boston University","Epidemiology, PhD (F17)","Rejected via E-mail on 1 Mar 2017 ","A","1 Mar 2017","Expected due to no interview"
"University Of Massachusetts Boston","Clinical Psychology, PhD (F17)","Accepted via E-mail on 1 Mar 2017 Undergrad GPA: 3.50GRE General (V/Q/W): 160/152/5.00GRE Subject: 720♦","A","1 Mar 2017","Email from POI. I immediately accepted the offer! I'm very excited about this."
"The University Of Massachusetts Boston","Clinical Psychology, PhD (F17)","Accepted via E-mail on 28 Feb 2017 ","","1 Mar 2017","Accepted- so excited!"
"Boston University School Of Theology","Practical Theology, PhD (F17)","Wait listed via E-mail on 17 Feb 2017 Undergrad GPA: n/aGRE General (V/Q/W): 164/0/5.50GRE Subject: n/a♦","A","28 Feb 2017","Anyone accepted to School of Theology and not going?"
"Boston University","Bioengineering (Biomedical Engineering), PhD (F17)","Wait listed via E-mail on 27 Feb 2017 Undergrad GPA: 3.43GRE General (V/Q/W): 162/167/5.00GRE Subject: n/a♦","A","28 Feb 2017","Offered half tuition scholarship to MS program."
"Boston University","Biomedical Engineering, PhD (F17)","Rejected via E-mail on 27 Feb 2017 ","A","28 Feb 2017",""
"Boston University","Applied Biostatistics, Masters (F17)","Accepted via E-mail on 27 Feb 2017 Undergrad GPA: 3.69GRE General (V/Q/W): 169/163/4.00GRE Subject: n/a♦","U","28 Feb 2017","Undergrad CS and Econ and Math majors. Top 20 ranked institution."
